method,outer_id,bACC,n_features_selected,best_params,fit_time_sec
LASSO,1,0.5671057780096517,322,"{""clf__C"": 1.0}",17.393
SVM-RFE,1,0.5094126342332942,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 2000, ""svm__C"": 0.1668100537200059}",1038.22
LASSO,2,0.6195286195286195,258,"{""clf__C"": 0.31622776601683794}",18.38
SVM-RFE,2,0.5691919191919191,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 3000, ""svm__C"": 0.1668100537200059}",1473.322
LASSO,3,0.5265993265993266,349,"{""clf__C"": 31.622776601683793}",20.76
SVM-RFE,3,0.5003367003367004,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1184.458
LASSO,4,0.5412698412698412,328,"{""clf__C"": 1.0}",15.613
SVM-RFE,4,0.5226190476190475,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.5994842503189409}",1108.278
LASSO,5,0.6346256684491979,277,"{""clf__C"": 0.31622776601683794}",17.099
SVM-RFE,5,0.6404188948306595,100,"{""rfe__n_features_to_select"": 100, ""selector__k"": 2000, ""svm__C"": 2.1544346900318843}",1134.668
LASSO,6,0.5385852789009173,315,"{""clf__C"": 1.0}",18.676
SVM-RFE,6,0.557867049258728,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1232.897
LASSO,7,0.587037037037037,258,"{""clf__C"": 0.31622776601683794}",14.156
SVM-RFE,7,0.48148148148148145,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.5994842503189409}",1066.729
LASSO,8,0.5685185185185185,266,"{""clf__C"": 0.31622776601683794}",16.801
SVM-RFE,8,0.5438552188552189,20,"{""rfe__n_features_to_select"": 20, ""selector__k"": 5000, ""svm__C"": 27.825594022071257}",1047.847
LASSO,9,0.5873015873015873,325,"{""clf__C"": 1.0}",13.774
SVM-RFE,9,0.5914021164021164,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",1217.43
LASSO,10,0.45543672014260245,281,"{""clf__C"": 0.31622776601683794}",13.682
SVM-RFE,10,0.5067736185383245,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1300.207
LASSO,11,0.5253249858701796,176,"{""clf__C"": 0.1}",15.23
SVM-RFE,11,0.4757836615799313,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1519.944
LASSO,12,0.5150673400673401,318,"{""clf__C"": 1.0}",12.7
SVM-RFE,12,0.5256734006734006,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 27.825594022071257}",1087.019
LASSO,13,0.5873737373737374,289,"{""clf__C"": 0.31622776601683794}",14.051
SVM-RFE,13,0.6920875420875422,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1021.541
LASSO,14,0.5242063492063492,314,"{""clf__C"": 1.0}",14.242
SVM-RFE,14,0.4984126984126984,20,"{""rfe__n_features_to_select"": 20, ""selector__k"": 5000, ""svm__C"": 2.1544346900318843}",851.72
LASSO,15,0.5577094474153297,268,"{""clf__C"": 0.31622776601683794}",13.484
SVM-RFE,15,0.6556595365418895,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",891.813
LASSO,16,0.5012825529324813,258,"{""clf__C"": 0.31622776601683794}",13.139
SVM-RFE,16,0.44024172862049477,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1040.042
LASSO,17,0.6275252525252525,283,"{""clf__C"": 0.31622776601683794}",16.082
SVM-RFE,17,0.5473063973063973,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 1000, ""svm__C"": 2.1544346900318843}",1117.801
LASSO,18,0.5738215488215489,329,"{""clf__C"": 1.0}",14.881
SVM-RFE,18,0.5877104377104377,20,"{""rfe__n_features_to_select"": 20, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",852.885
LASSO,19,0.5695767195767196,263,"{""clf__C"": 0.31622776601683794}",14.382
SVM-RFE,19,0.5887566137566137,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",892.741
LASSO,20,0.5357397504456327,281,"{""clf__C"": 0.31622776601683794}",13.226
SVM-RFE,20,0.46377005347593575,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 2000, ""svm__C"": 0.5994842503189409}",891.273
LASSO,21,0.636624494587192,271,"{""clf__C"": 0.31622776601683794}",14.776
SVM-RFE,21,0.6122342506847529,20,"{""rfe__n_features_to_select"": 20, ""selector__k"": 3000, ""svm__C"": 27.825594022071257}",944.663
LASSO,22,0.562037037037037,322,"{""clf__C"": 1.0}",13.417
SVM-RFE,22,0.5388888888888889,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.5994842503189409}",1051.814
LASSO,23,0.5571548821548822,254,"{""clf__C"": 0.31622776601683794}",13.849
SVM-RFE,23,0.49015151515151517,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.5994842503189409}",989.182
LASSO,24,0.5726190476190475,316,"{""clf__C"": 1.0}",12.87
SVM-RFE,24,0.5291005291005292,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 3000, ""svm__C"": 0.046415888336127795}",1180.796
LASSO,25,0.5151960784313725,275,"{""clf__C"": 0.31622776601683794}",12.952
SVM-RFE,25,0.47976827094474156,20,"{""rfe__n_features_to_select"": 20, ""selector__k"": 1000, ""svm__C"": 0.5994842503189409}",876.177
LASSO,26,0.6355158471370811,260,"{""clf__C"": 0.31622776601683794}",14.281
SVM-RFE,26,0.6913395069779575,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",729.757
LASSO,27,0.5151515151515151,304,"{""clf__C"": 1.0}",13.067
SVM-RFE,27,0.43122895622895624,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",1259.646
LASSO,28,0.5330808080808082,334,"{""clf__C"": 3.1622776601683795}",13.719
SVM-RFE,28,0.496969696969697,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",964.897
LASSO,29,0.6277777777777778,285,"{""clf__C"": 0.31622776601683794}",13.744
SVM-RFE,29,0.5396825396825397,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1018.87
LASSO,30,0.5755347593582888,312,"{""clf__C"": 1.0}",14.71
SVM-RFE,30,0.632174688057041,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 27.825594022071257}",1012.491
LASSO,31,0.5881700795617583,289,"{""clf__C"": 0.31622776601683794}",12.327
SVM-RFE,31,0.37150558671362116,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.01291549665014884}",1050.795
LASSO,32,0.6324915824915825,281,"{""clf__C"": 0.31622776601683794}",13.398
SVM-RFE,32,0.5408249158249158,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",1022.675
LASSO,33,0.5548821548821549,280,"{""clf__C"": 0.31622776601683794}",17.601
SVM-RFE,33,0.529040404040404,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",1752.938
LASSO,34,0.6595238095238095,253,"{""clf__C"": 0.31622776601683794}",36.755
SVM-RFE,34,0.6646825396825397,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",1724.434
LASSO,35,0.5580213903743316,267,"{""clf__C"": 0.31622776601683794}",29.01
SVM-RFE,35,0.5852941176470589,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1634.274
LASSO,36,0.5511934263727664,324,"{""clf__C"": 1.0}",22.428
SVM-RFE,36,0.48837007086648404,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",1768.676
LASSO,37,0.5401515151515152,279,"{""clf__C"": 0.31622776601683794}",29.892
SVM-RFE,37,0.6733164983164984,20,"{""rfe__n_features_to_select"": 20, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",1608.201
LASSO,38,0.5873737373737374,264,"{""clf__C"": 0.31622776601683794}",23.805
SVM-RFE,38,0.5084175084175083,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 1000, ""svm__C"": 2.1544346900318843}",1857.288
LASSO,39,0.6108465608465609,308,"{""clf__C"": 1.0}",26.253
SVM-RFE,39,0.6035714285714285,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1813.827
LASSO,40,0.5805704099821747,263,"{""clf__C"": 0.31622776601683794}",29.665
SVM-RFE,40,0.5994206773618539,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",2715.933
LASSO,41,0.5345854528063998,326,"{""clf__C"": 1.0}",27.964
SVM-RFE,41,0.5224555454110691,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",2299.889
LASSO,42,0.5351851851851852,326,"{""clf__C"": 1.0}",20.576
SVM-RFE,42,0.6146464646464646,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.5994842503189409}",1492.302
LASSO,43,0.6241582491582491,271,"{""clf__C"": 0.31622776601683794}",16.009
SVM-RFE,43,0.6312289562289563,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.1668100537200059}",1326.514
LASSO,44,0.5646825396825397,283,"{""clf__C"": 0.31622776601683794}",16.097
SVM-RFE,44,0.5506613756613757,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1189.096
LASSO,45,0.5259803921568628,271,"{""clf__C"": 0.31622776601683794}",14.219
SVM-RFE,45,0.6352049910873441,20,"{""rfe__n_features_to_select"": 20, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",815.315
LASSO,46,0.5800399982609452,336,"{""clf__C"": 3.1622776601683795}",14.146
SVM-RFE,46,0.6196034955001957,50,"{""rfe__n_features_to_select"": 50, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",1392.3
LASSO,47,0.5450336700336701,249,"{""clf__C"": 0.31622776601683794}",16.926
SVM-RFE,47,0.5484006734006734,100,"{""rfe__n_features_to_select"": 100, ""selector__k"": 5000, ""svm__C"": 0.01291549665014884}",819.317
LASSO,48,0.41750841750841755,338,"{""clf__C"": 3.1622776601683795}",15.695
SVM-RFE,48,0.5234006734006734,10,"{""rfe__n_features_to_select"": 10, ""selector__k"": 1000, ""svm__C"": 2.1544346900318843}",783.575
LASSO,49,0.4924603174603175,285,"{""clf__C"": 0.31622776601683794}",24.638
SVM-RFE,49,0.5128306878306877,30,"{""rfe__n_features_to_select"": 30, ""selector__k"": 2000, ""svm__C"": 0.046415888336127795}",1616.954
LASSO,50,0.5324420677361853,284,"{""clf__C"": 0.31622776601683794}",15.624
SVM-RFE,50,0.5896613190730838,20,"{""rfe__n_features_to_select"": 20, ""selector__k"": 5000, ""svm__C"": 0.046415888336127795}",926.537
